Running BLAST for 0.015625 

['DATE:2016-03-20 13:02:00.160388', 'CPU:30.3', 'MEMORY:21082 MB']
['DATE:2016-03-20 13:03:01.224177', 'CPU:33.0', 'MEMORY:21094 MB']
['DATE:2016-03-20 13:04:02.287262', 'CPU:32.4', 'MEMORY:21099 MB']
['DATE:2016-03-20 13:05:03.350515', 'CPU:32.6', 'MEMORY:21104 MB']
['DATE:2016-03-20 13:06:04.413601', 'CPU:32.7', 'MEMORY:21106 MB']
['DATE:2016-03-20 13:07:05.476790', 'CPU:33.1', 'MEMORY:21111 MB']
['DATE:2016-03-20 13:08:06.540209', 'CPU:35.3', 'MEMORY:21115 MB']
['DATE:2016-03-20 13:09:07.599551', 'CPU:34.7', 'MEMORY:21115 MB']
['DATE:2016-03-20 13:10:08.659739', 'CPU:32.4', 'MEMORY:21118 MB']
['DATE:2016-03-20 13:11:09.723042', 'CPU:32.3', 'MEMORY:21118 MB']
['DATE:2016-03-20 13:12:10.786298', 'CPU:33.9', 'MEMORY:21119 MB']
['DATE:2016-03-20 13:13:11.848173', 'CPU:34.2', 'MEMORY:21123 MB']
['DATE:2016-03-20 13:14:12.911412', 'CPU:34.4', 'MEMORY:21127 MB']
['DATE:2016-03-20 13:15:13.974933', 'CPU:32.9', 'MEMORY:21128 MB']
['DATE:2016-03-20 13:16:15.038153', 'CPU:34.1', 'MEMORY:21134 MB']
['DATE:2016-03-20 13:17:16.102043', 'CPU:13.7', 'MEMORY:21578 MB']
['DATE:2016-03-20 13:18:17.165598', 'CPU:12.6', 'MEMORY:21603 MB']
['DATE:2016-03-20 13:19:18.229283', 'CPU:26.4', 'MEMORY:21793 MB']
['DATE:2016-03-20 13:20:19.292985', 'CPU:25.8', 'MEMORY:21802 MB']
['DATE:2016-03-20 13:21:20.299798', 'CPU:28.7', 'MEMORY:21424 MB']
['DATE:2016-03-20 13:22:21.363388', 'CPU:27.7', 'MEMORY:21432 MB']
['DATE:2016-03-20 13:23:22.425681', 'CPU:28.5', 'MEMORY:21417 MB']
['DATE:2016-03-20 13:24:23.487574', 'CPU:35.1', 'MEMORY:21432 MB']
['DATE:2016-03-20 13:25:24.548546', 'CPU:28.4', 'MEMORY:21464 MB']
['DATE:2016-03-20 13:26:25.611385', 'CPU:13.9', 'MEMORY:21346 MB']
['DATE:2016-03-20 13:27:26.672451', 'CPU:27.4', 'MEMORY:21464 MB']
['DATE:2016-03-20 13:28:27.735753', 'CPU:13.8', 'MEMORY:21394 MB']
['DATE:2016-03-20 13:29:28.799249', 'CPU:28.4', 'MEMORY:21497 MB']
['DATE:2016-03-20 13:30:29.862692', 'CPU:13.8', 'MEMORY:21433 MB']
['DATE:2016-03-20 13:31:30.925344', 'CPU:29.8', 'MEMORY:21537 MB']
['DATE:2016-03-20 13:32:31.988359', 'CPU:13.8', 'MEMORY:21456 MB']
['DATE:2016-03-20 13:33:33.051558', 'CPU:28.9', 'MEMORY:21554 MB']
['DATE:2016-03-20 13:34:34.114867', 'CPU:35.0', 'MEMORY:21566 MB']
['DATE:2016-03-20 13:35:35.178485', 'CPU:30.0', 'MEMORY:21590 MB']
['DATE:2016-03-20 13:36:36.242495', 'CPU:30.5', 'MEMORY:21598 MB']
['DATE:2016-03-20 13:37:37.304874', 'CPU:28.7', 'MEMORY:21625 MB']
['DATE:2016-03-20 13:38:38.368045', 'CPU:29.2', 'MEMORY:21624 MB']
['DATE:2016-03-20 13:39:39.431557', 'CPU:28.4', 'MEMORY:21681 MB']
['DATE:2016-03-20 13:40:40.495644', 'CPU:29.2', 'MEMORY:21674 MB']
['DATE:2016-03-20 13:41:41.559431', 'CPU:28.8', 'MEMORY:21702 MB']
['DATE:2016-03-20 13:42:42.622877', 'CPU:34.3', 'MEMORY:21723 MB']
['DATE:2016-03-20 13:43:43.687192', 'CPU:27.7', 'MEMORY:21690 MB']
['DATE:2016-03-20 13:44:44.750883', 'CPU:33.8', 'MEMORY:21707 MB']
['DATE:2016-03-20 13:45:45.812866', 'CPU:30.6', 'MEMORY:21696 MB']
['DATE:2016-03-20 13:46:46.876537', 'CPU:13.8', 'MEMORY:21601 MB']
['DATE:2016-03-20 13:47:47.936880', 'CPU:28.9', 'MEMORY:21686 MB']
['DATE:2016-03-20 13:48:48.997105', 'CPU:28.7', 'MEMORY:21758 MB']
['DATE:2016-03-20 13:49:50.061376', 'CPU:29.9', 'MEMORY:21753 MB']
['DATE:2016-03-20 13:50:51.121173', 'CPU:31.2', 'MEMORY:21750 MB']
['DATE:2016-03-20 13:51:52.182005', 'CPU:29.3', 'MEMORY:21736 MB']
['DATE:2016-03-20 13:52:53.245234', 'CPU:33.4', 'MEMORY:21753 MB']
['DATE:2016-03-20 13:53:54.308851', 'CPU:28.1', 'MEMORY:21761 MB']
['DATE:2016-03-20 13:54:55.372867', 'CPU:29.2', 'MEMORY:21766 MB']
['DATE:2016-03-20 13:55:56.437125', 'CPU:27.0', 'MEMORY:21781 MB']
['DATE:2016-03-20 13:56:57.501241', 'CPU:27.5', 'MEMORY:21786 MB']
['DATE:2016-03-20 13:57:58.561145', 'CPU:27.0', 'MEMORY:21820 MB']
['DATE:2016-03-20 13:58:59.625243', 'CPU:28.0', 'MEMORY:21819 MB']
['DATE:2016-03-20 14:00:00.689398', 'CPU:28.1', 'MEMORY:21804 MB']
['DATE:2016-03-20 14:01:01.749316', 'CPU:29.0', 'MEMORY:21810 MB']
['DATE:2016-03-20 14:02:02.813052', 'CPU:13.9', 'MEMORY:21773 MB']
['DATE:2016-03-20 14:03:03.876128', 'CPU:29.1', 'MEMORY:21851 MB']
['DATE:2016-03-20 14:04:04.939383', 'CPU:31.7', 'MEMORY:21859 MB']
['DATE:2016-03-20 14:05:06.002529', 'CPU:28.5', 'MEMORY:21919 MB']
['DATE:2016-03-20 14:06:07.066345', 'CPU:27.0', 'MEMORY:21932 MB']
['DATE:2016-03-20 14:07:08.130170', 'CPU:27.2', 'MEMORY:21934 MB']
['DATE:2016-03-20 14:08:09.193883', 'CPU:28.5', 'MEMORY:21926 MB']
['DATE:2016-03-20 14:09:10.257170', 'CPU:41.7', 'MEMORY:21953 MB']
['DATE:2016-03-20 14:10:11.320262', 'CPU:28.5', 'MEMORY:21925 MB']
['DATE:2016-03-20 14:11:12.383371', 'CPU:34.8', 'MEMORY:21946 MB']
['DATE:2016-03-20 14:12:13.444941', 'CPU:28.8', 'MEMORY:21923 MB']
['DATE:2016-03-20 14:13:14.504844', 'CPU:33.2', 'MEMORY:21944 MB']
['DATE:2016-03-20 14:14:15.565356', 'CPU:30.1', 'MEMORY:21922 MB']
['DATE:2016-03-20 14:15:16.629003', 'CPU:34.8', 'MEMORY:21933 MB']
['DATE:2016-03-20 14:16:17.689920', 'CPU:26.9', 'MEMORY:21954 MB']
