Running BLAST for 0.015625 

['DATE:2016-03-20 05:02:42.866541', 'CPU:99.3', 'MEMORY:8104 MB']
['DATE:2016-03-20 05:03:43.926328', 'CPU:99.2', 'MEMORY:8122 MB']
['DATE:2016-03-20 05:04:44.986364', 'CPU:99.0', 'MEMORY:8136 MB']
['DATE:2016-03-20 05:05:46.046323', 'CPU:99.3', 'MEMORY:8148 MB']
['DATE:2016-03-20 05:06:47.113265', 'CPU:98.7', 'MEMORY:8144 MB']
['DATE:2016-03-20 05:07:48.174572', 'CPU:99.3', 'MEMORY:8152 MB']
['DATE:2016-03-20 05:08:49.234254', 'CPU:99.1', 'MEMORY:8159 MB']
['DATE:2016-03-20 05:09:50.294777', 'CPU:99.0', 'MEMORY:8168 MB']
['DATE:2016-03-20 05:10:51.355060', 'CPU:98.7', 'MEMORY:8145 MB']
['DATE:2016-03-20 05:11:52.414799', 'CPU:99.4', 'MEMORY:8151 MB']
['DATE:2016-03-20 05:12:53.474961', 'CPU:98.5', 'MEMORY:8150 MB']
['DATE:2016-03-20 05:13:54.534795', 'CPU:99.0', 'MEMORY:8150 MB']
['DATE:2016-03-20 05:14:55.594817', 'CPU:99.0', 'MEMORY:8146 MB']
['DATE:2016-03-20 05:15:56.655734', 'CPU:99.2', 'MEMORY:8139 MB']
['DATE:2016-03-20 05:16:57.718760', 'CPU:99.2', 'MEMORY:8145 MB']
['DATE:2016-03-20 05:17:58.779566', 'CPU:98.6', 'MEMORY:8139 MB']
['DATE:2016-03-20 05:18:59.843089', 'CPU:98.6', 'MEMORY:8146 MB']
['DATE:2016-03-20 05:20:00.905526', 'CPU:99.3', 'MEMORY:8140 MB']
['DATE:2016-03-20 05:21:01.965368', 'CPU:99.2', 'MEMORY:8161 MB']
['DATE:2016-03-20 05:22:03.025786', 'CPU:99.4', 'MEMORY:8162 MB']
['DATE:2016-03-20 05:23:04.085477', 'CPU:99.0', 'MEMORY:8157 MB']
['DATE:2016-03-20 05:24:05.146032', 'CPU:99.3', 'MEMORY:8158 MB']
['DATE:2016-03-20 05:25:06.209463', 'CPU:99.2', 'MEMORY:8191 MB']
['DATE:2016-03-20 05:26:07.269544', 'CPU:98.6', 'MEMORY:8169 MB']
['DATE:2016-03-20 05:27:08.329512', 'CPU:99.0', 'MEMORY:8162 MB']
['DATE:2016-03-20 05:28:09.389667', 'CPU:98.8', 'MEMORY:8193 MB']
['DATE:2016-03-20 05:29:10.449533', 'CPU:99.4', 'MEMORY:8164 MB']
['DATE:2016-03-20 05:30:11.509493', 'CPU:99.6', 'MEMORY:8180 MB']
['DATE:2016-03-20 05:31:12.569446', 'CPU:99.0', 'MEMORY:8186 MB']
['DATE:2016-03-20 05:32:13.629435', 'CPU:98.7', 'MEMORY:8191 MB']
['DATE:2016-03-20 05:33:14.689617', 'CPU:98.9', 'MEMORY:8203 MB']
['DATE:2016-03-20 05:34:15.749568', 'CPU:99.6', 'MEMORY:8192 MB']
['DATE:2016-03-20 05:35:16.809508', 'CPU:99.2', 'MEMORY:8197 MB']
['DATE:2016-03-20 05:36:17.869454', 'CPU:99.9', 'MEMORY:8173 MB']
['DATE:2016-03-20 05:37:18.929477', 'CPU:100.0', 'MEMORY:8168 MB']
['DATE:2016-03-20 05:38:19.989515', 'CPU:99.9', 'MEMORY:8732 MB']
['DATE:2016-03-20 05:39:21.049600', 'CPU:99.6', 'MEMORY:8733 MB']
['DATE:2016-03-20 05:40:22.109523', 'CPU:99.7', 'MEMORY:8761 MB']
['DATE:2016-03-20 05:41:23.169589', 'CPU:99.7', 'MEMORY:8761 MB']
['DATE:2016-03-20 05:42:24.229626', 'CPU:99.3', 'MEMORY:8850 MB']
['DATE:2016-03-20 05:43:25.289538', 'CPU:99.3', 'MEMORY:8863 MB']
['DATE:2016-03-20 05:44:26.349636', 'CPU:99.6', 'MEMORY:8775 MB']
['DATE:2016-03-20 05:45:27.409745', 'CPU:99.3', 'MEMORY:8875 MB']
['DATE:2016-03-20 05:46:28.470360', 'CPU:99.2', 'MEMORY:8887 MB']
['DATE:2016-03-20 05:47:29.533615', 'CPU:99.9', 'MEMORY:8740 MB']
['DATE:2016-03-20 05:48:30.593673', 'CPU:99.3', 'MEMORY:8826 MB']
['DATE:2016-03-20 05:49:31.654640', 'CPU:99.5', 'MEMORY:8832 MB']
['DATE:2016-03-20 05:50:32.721649', 'CPU:99.4', 'MEMORY:8856 MB']
['DATE:2016-03-20 05:51:33.781958', 'CPU:99.3', 'MEMORY:8847 MB']
['DATE:2016-03-20 05:52:34.842047', 'CPU:99.4', 'MEMORY:8859 MB']
['DATE:2016-03-20 05:53:35.901795', 'CPU:99.2', 'MEMORY:8853 MB']
['DATE:2016-03-20 05:54:36.965256', 'CPU:98.9', 'MEMORY:8857 MB']
['DATE:2016-03-20 05:55:38.025548', 'CPU:99.9', 'MEMORY:8860 MB']
['DATE:2016-03-20 05:56:39.085781', 'CPU:99.3', 'MEMORY:8857 MB']
['DATE:2016-03-20 05:57:40.145724', 'CPU:99.3', 'MEMORY:8866 MB']
['DATE:2016-03-20 05:58:41.214144', 'CPU:99.1', 'MEMORY:8872 MB']
['DATE:2016-03-20 05:59:42.273666', 'CPU:99.0', 'MEMORY:8890 MB']
['DATE:2016-03-20 06:00:43.334151', 'CPU:98.9', 'MEMORY:8896 MB']
['DATE:2016-03-20 06:01:44.393604', 'CPU:99.3', 'MEMORY:8922 MB']
['DATE:2016-03-20 06:02:45.454797', 'CPU:99.0', 'MEMORY:8933 MB']
['DATE:2016-03-20 06:03:46.517638', 'CPU:99.3', 'MEMORY:8944 MB']
['DATE:2016-03-20 06:04:47.578511', 'CPU:98.7', 'MEMORY:8955 MB']
['DATE:2016-03-20 06:05:48.642166', 'CPU:99.9', 'MEMORY:8936 MB']
['DATE:2016-03-20 06:06:49.701552', 'CPU:99.2', 'MEMORY:8941 MB']
['DATE:2016-03-20 06:07:50.763189', 'CPU:98.8', 'MEMORY:8957 MB']
['DATE:2016-03-20 06:08:51.825845', 'CPU:99.3', 'MEMORY:8976 MB']
['DATE:2016-03-20 06:09:52.885691', 'CPU:99.2', 'MEMORY:8969 MB']
['DATE:2016-03-20 06:10:53.945882', 'CPU:99.3', 'MEMORY:8969 MB']
['DATE:2016-03-20 06:11:55.005922', 'CPU:99.4', 'MEMORY:8974 MB']
['DATE:2016-03-20 06:12:56.065962', 'CPU:99.4', 'MEMORY:8985 MB']
['DATE:2016-03-20 06:13:57.126422', 'CPU:99.9', 'MEMORY:8935 MB']
['DATE:2016-03-20 06:14:58.189585', 'CPU:99.2', 'MEMORY:8971 MB']
['DATE:2016-03-20 06:15:59.250267', 'CPU:99.3', 'MEMORY:8991 MB']
['DATE:2016-03-20 06:17:00.309703', 'CPU:99.1', 'MEMORY:8946 MB']
['DATE:2016-03-20 06:18:01.369781', 'CPU:99.4', 'MEMORY:8953 MB']
['DATE:2016-03-20 06:19:02.429735', 'CPU:99.2', 'MEMORY:8963 MB']
['DATE:2016-03-20 06:20:03.489982', 'CPU:99.7', 'MEMORY:8923 MB']
['DATE:2016-03-20 06:21:04.549677', 'CPU:99.1', 'MEMORY:8951 MB']
['DATE:2016-03-20 06:22:05.609891', 'CPU:99.6', 'MEMORY:8967 MB']
['DATE:2016-03-20 06:23:06.669809', 'CPU:99.0', 'MEMORY:8953 MB']
['DATE:2016-03-20 06:24:07.729900', 'CPU:98.9', 'MEMORY:8952 MB']
['DATE:2016-03-20 06:25:08.789650', 'CPU:99.0', 'MEMORY:8978 MB']
['DATE:2016-03-20 06:26:09.849602', 'CPU:99.9', 'MEMORY:8966 MB']
['DATE:2016-03-20 06:27:10.909573', 'CPU:99.3', 'MEMORY:8979 MB']
['DATE:2016-03-20 06:28:11.969516', 'CPU:99.3', 'MEMORY:9004 MB']
['DATE:2016-03-20 06:29:13.029654', 'CPU:99.8', 'MEMORY:8997 MB']
['DATE:2016-03-20 06:30:14.091994', 'CPU:98.9', 'MEMORY:9022 MB']
['DATE:2016-03-20 06:31:15.154728', 'CPU:99.1', 'MEMORY:9025 MB']
['DATE:2016-03-20 06:32:16.217668', 'CPU:99.5', 'MEMORY:9022 MB']
['DATE:2016-03-20 06:33:17.277758', 'CPU:99.3', 'MEMORY:8993 MB']
['DATE:2016-03-20 06:34:18.337678', 'CPU:99.5', 'MEMORY:9001 MB']
['DATE:2016-03-20 06:35:19.397878', 'CPU:99.2', 'MEMORY:9006 MB']
['DATE:2016-03-20 06:36:20.457771', 'CPU:99.9', 'MEMORY:9011 MB']
['DATE:2016-03-20 06:37:21.519697', 'CPU:99.1', 'MEMORY:9032 MB']
['DATE:2016-03-20 06:38:22.581717', 'CPU:99.4', 'MEMORY:9027 MB']
['DATE:2016-03-20 06:39:23.642690', 'CPU:99.1', 'MEMORY:9018 MB']
['DATE:2016-03-20 06:40:24.705638', 'CPU:99.7', 'MEMORY:9017 MB']
['DATE:2016-03-20 06:41:25.765914', 'CPU:99.1', 'MEMORY:9053 MB']
['DATE:2016-03-20 06:42:26.825713', 'CPU:99.3', 'MEMORY:9083 MB']
['DATE:2016-03-20 06:43:27.886244', 'CPU:99.9', 'MEMORY:9064 MB']
['DATE:2016-03-20 06:44:28.945631', 'CPU:99.3', 'MEMORY:9104 MB']
['DATE:2016-03-20 06:45:30.005646', 'CPU:99.4', 'MEMORY:9121 MB']
['DATE:2016-03-20 06:46:31.066113', 'CPU:99.7', 'MEMORY:9109 MB']
['DATE:2016-03-20 06:47:32.125601', 'CPU:99.1', 'MEMORY:9132 MB']
['DATE:2016-03-20 06:48:33.185827', 'CPU:99.0', 'MEMORY:9152 MB']
['DATE:2016-03-20 06:49:34.245676', 'CPU:99.1', 'MEMORY:9156 MB']
['DATE:2016-03-20 06:50:35.306097', 'CPU:99.9', 'MEMORY:9147 MB']
['DATE:2016-03-20 06:51:36.365967', 'CPU:99.3', 'MEMORY:9164 MB']
['DATE:2016-03-20 06:52:37.428593', 'CPU:98.8', 'MEMORY:9171 MB']
['DATE:2016-03-20 06:53:38.491301', 'CPU:99.5', 'MEMORY:9180 MB']
['DATE:2016-03-20 06:54:39.553312', 'CPU:99.1', 'MEMORY:9158 MB']
['DATE:2016-03-20 06:55:40.613890', 'CPU:99.0', 'MEMORY:9172 MB']
['DATE:2016-03-20 06:56:41.673344', 'CPU:99.2', 'MEMORY:9172 MB']
['DATE:2016-03-20 06:57:42.733443', 'CPU:99.3', 'MEMORY:9181 MB']
['DATE:2016-03-20 06:58:43.793165', 'CPU:99.2', 'MEMORY:9208 MB']
['DATE:2016-03-20 06:59:44.853963', 'CPU:99.4', 'MEMORY:9180 MB']
['DATE:2016-03-20 07:00:45.913569', 'CPU:99.3', 'MEMORY:9189 MB']
['DATE:2016-03-20 07:01:46.973850', 'CPU:99.8', 'MEMORY:9166 MB']
['DATE:2016-03-20 07:02:48.033426', 'CPU:99.2', 'MEMORY:9184 MB']
['DATE:2016-03-20 07:03:49.093272', 'CPU:99.2', 'MEMORY:9191 MB']
['DATE:2016-03-20 07:04:50.153323', 'CPU:99.4', 'MEMORY:9200 MB']
['DATE:2016-03-20 07:05:51.213240', 'CPU:99.4', 'MEMORY:9212 MB']
['DATE:2016-03-20 07:06:52.273273', 'CPU:99.1', 'MEMORY:9205 MB']
['DATE:2016-03-20 07:07:53.333604', 'CPU:99.5', 'MEMORY:9199 MB']
['DATE:2016-03-20 07:08:54.393274', 'CPU:99.0', 'MEMORY:9178 MB']
['DATE:2016-03-20 07:09:55.453298', 'CPU:99.0', 'MEMORY:9178 MB']
['DATE:2016-03-20 07:10:56.513308', 'CPU:99.0', 'MEMORY:9192 MB']
['DATE:2016-03-20 07:11:57.573612', 'CPU:99.3', 'MEMORY:9196 MB']
['DATE:2016-03-20 07:12:58.633288', 'CPU:99.3', 'MEMORY:9172 MB']
['DATE:2016-03-20 07:13:59.693263', 'CPU:99.2', 'MEMORY:9179 MB']
['DATE:2016-03-20 07:15:00.753306', 'CPU:99.0', 'MEMORY:9179 MB']
['DATE:2016-03-20 07:16:01.813291', 'CPU:99.1', 'MEMORY:9191 MB']
['DATE:2016-03-20 07:17:02.873412', 'CPU:99.5', 'MEMORY:9209 MB']
['DATE:2016-03-20 07:18:03.933343', 'CPU:99.9', 'MEMORY:9205 MB']
['DATE:2016-03-20 07:19:04.993534', 'CPU:99.5', 'MEMORY:9184 MB']
['DATE:2016-03-20 07:20:06.053610', 'CPU:99.0', 'MEMORY:9192 MB']
['DATE:2016-03-20 07:21:07.113689', 'CPU:99.3', 'MEMORY:9210 MB']
['DATE:2016-03-20 07:22:08.173261', 'CPU:99.3', 'MEMORY:9192 MB']
['DATE:2016-03-20 07:23:09.233294', 'CPU:99.2', 'MEMORY:9193 MB']
['DATE:2016-03-20 07:24:10.293251', 'CPU:99.1', 'MEMORY:9197 MB']
['DATE:2016-03-20 07:25:11.353300', 'CPU:99.9', 'MEMORY:9189 MB']
['DATE:2016-03-20 07:26:12.413326', 'CPU:99.4', 'MEMORY:9185 MB']
['DATE:2016-03-20 07:27:13.473181', 'CPU:99.6', 'MEMORY:9207 MB']
['DATE:2016-03-20 07:28:14.533600', 'CPU:99.1', 'MEMORY:9205 MB']
['DATE:2016-03-20 07:29:15.593393', 'CPU:99.3', 'MEMORY:9193 MB']
['DATE:2016-03-20 07:30:16.653358', 'CPU:99.4', 'MEMORY:9204 MB']
['DATE:2016-03-20 07:31:17.713387', 'CPU:99.3', 'MEMORY:9180 MB']
['DATE:2016-03-20 07:32:18.773895', 'CPU:99.1', 'MEMORY:9180 MB']
['DATE:2016-03-20 07:33:19.833615', 'CPU:99.5', 'MEMORY:9204 MB']
['DATE:2016-03-20 07:34:20.893249', 'CPU:99.2', 'MEMORY:9186 MB']
['DATE:2016-03-20 07:35:21.953243', 'CPU:99.1', 'MEMORY:9200 MB']
['DATE:2016-03-20 07:36:23.013406', 'CPU:99.2', 'MEMORY:9212 MB']
['DATE:2016-03-20 07:37:24.073285', 'CPU:99.3', 'MEMORY:9222 MB']
['DATE:2016-03-20 07:38:25.133274', 'CPU:99.2', 'MEMORY:9194 MB']
['DATE:2016-03-20 07:39:26.193299', 'CPU:99.3', 'MEMORY:9214 MB']
['DATE:2016-03-20 07:40:27.253404', 'CPU:99.8', 'MEMORY:9183 MB']
['DATE:2016-03-20 07:41:28.314143', 'CPU:99.1', 'MEMORY:9194 MB']
['DATE:2016-03-20 07:42:29.377361', 'CPU:99.2', 'MEMORY:9201 MB']
['DATE:2016-03-20 07:43:30.437228', 'CPU:98.8', 'MEMORY:9204 MB']
['DATE:2016-03-20 07:44:31.497073', 'CPU:99.3', 'MEMORY:9235 MB']
['DATE:2016-03-20 07:45:32.557162', 'CPU:99.4', 'MEMORY:9215 MB']
['DATE:2016-03-20 07:46:33.617060', 'CPU:99.8', 'MEMORY:9223 MB']
['DATE:2016-03-20 07:47:34.678554', 'CPU:99.3', 'MEMORY:9200 MB']
['DATE:2016-03-20 07:48:35.741623', 'CPU:99.1', 'MEMORY:9214 MB']
['DATE:2016-03-20 07:49:36.801533', 'CPU:99.9', 'MEMORY:9212 MB']
['DATE:2016-03-20 07:50:37.861939', 'CPU:99.3', 'MEMORY:9203 MB']
['DATE:2016-03-20 07:51:38.925578', 'CPU:99.0', 'MEMORY:9195 MB']
['DATE:2016-03-20 07:52:39.985103', 'CPU:99.4', 'MEMORY:9207 MB']
['DATE:2016-03-20 07:53:41.045853', 'CPU:99.2', 'MEMORY:9188 MB']
['DATE:2016-03-20 07:54:42.110097', 'CPU:99.3', 'MEMORY:9193 MB']
['DATE:2016-03-20 07:55:43.173127', 'CPU:99.7', 'MEMORY:9203 MB']
['DATE:2016-03-20 07:56:44.233168', 'CPU:99.0', 'MEMORY:9192 MB']
['DATE:2016-03-20 07:57:45.293023', 'CPU:99.3', 'MEMORY:9201 MB']
['DATE:2016-03-20 07:58:46.353181', 'CPU:99.4', 'MEMORY:9216 MB']
['DATE:2016-03-20 07:59:47.413183', 'CPU:99.4', 'MEMORY:9204 MB']
['DATE:2016-03-20 08:00:48.473204', 'CPU:99.1', 'MEMORY:9204 MB']
['DATE:2016-03-20 08:01:49.533023', 'CPU:99.2', 'MEMORY:9223 MB']
['DATE:2016-03-20 08:02:50.592958', 'CPU:99.4', 'MEMORY:9218 MB']
['DATE:2016-03-20 08:03:51.652893', 'CPU:99.2', 'MEMORY:9216 MB']
['DATE:2016-03-20 08:04:52.713181', 'CPU:99.3', 'MEMORY:9221 MB']
['DATE:2016-03-20 08:05:53.773035', 'CPU:99.3', 'MEMORY:9238 MB']
['DATE:2016-03-20 08:06:54.833037', 'CPU:99.2', 'MEMORY:9200 MB']
['DATE:2016-03-20 08:07:55.892931', 'CPU:99.1', 'MEMORY:9207 MB']
['DATE:2016-03-20 08:08:56.956459', 'CPU:99.4', 'MEMORY:9215 MB']
['DATE:2016-03-20 08:09:58.017099', 'CPU:99.5', 'MEMORY:9201 MB']
['DATE:2016-03-20 08:10:59.077375', 'CPU:99.3', 'MEMORY:9234 MB']
['DATE:2016-03-20 08:12:00.137016', 'CPU:99.6', 'MEMORY:9232 MB']
['DATE:2016-03-20 08:13:01.197077', 'CPU:99.3', 'MEMORY:9231 MB']
['DATE:2016-03-20 08:14:02.256966', 'CPU:99.0', 'MEMORY:9219 MB']
['DATE:2016-03-20 08:15:03.317048', 'CPU:99.7', 'MEMORY:9233 MB']
['DATE:2016-03-20 08:16:04.377103', 'CPU:99.1', 'MEMORY:9215 MB']
['DATE:2016-03-20 08:17:05.437158', 'CPU:99.2', 'MEMORY:9224 MB']
['DATE:2016-03-20 08:18:06.497146', 'CPU:99.8', 'MEMORY:9218 MB']
['DATE:2016-03-20 08:19:07.557056', 'CPU:99.2', 'MEMORY:9246 MB']
['DATE:2016-03-20 08:20:08.617271', 'CPU:99.2', 'MEMORY:9251 MB']
['DATE:2016-03-20 08:21:09.677059', 'CPU:99.7', 'MEMORY:9238 MB']
['DATE:2016-03-20 08:22:10.737018', 'CPU:99.2', 'MEMORY:9243 MB']
['DATE:2016-03-20 08:23:11.797242', 'CPU:99.1', 'MEMORY:9251 MB']
['DATE:2016-03-20 08:24:12.857036', 'CPU:99.9', 'MEMORY:9230 MB']
['DATE:2016-03-20 08:25:13.917166', 'CPU:99.4', 'MEMORY:9253 MB']
['DATE:2016-03-20 08:26:14.977092', 'CPU:99.6', 'MEMORY:9254 MB']
