Running BLAST for 0.015625 

['DATE:2016-03-19 14:18:15.627733', 'CPU:15.8', 'MEMORY:12261 MB']
['DATE:2016-03-19 14:19:16.691413', 'CPU:16.4', 'MEMORY:12276 MB']
['DATE:2016-03-19 14:20:17.732955', 'CPU:17.0', 'MEMORY:12282 MB']
['DATE:2016-03-19 14:21:18.796354', 'CPU:17.3', 'MEMORY:12283 MB']
['DATE:2016-03-19 14:22:19.859473', 'CPU:16.9', 'MEMORY:12282 MB']
['DATE:2016-03-19 14:23:20.923427', 'CPU:17.6', 'MEMORY:12283 MB']
['DATE:2016-03-19 14:24:21.987338', 'CPU:17.3', 'MEMORY:12286 MB']
['DATE:2016-03-19 14:25:23.051187', 'CPU:17.0', 'MEMORY:12299 MB']
['DATE:2016-03-19 14:26:24.111935', 'CPU:17.3', 'MEMORY:12293 MB']
['DATE:2016-03-19 14:27:25.175936', 'CPU:16.8', 'MEMORY:12292 MB']
['DATE:2016-03-19 14:28:26.239377', 'CPU:17.8', 'MEMORY:12330 MB']
['DATE:2016-03-19 14:29:27.303108', 'CPU:17.7', 'MEMORY:12324 MB']
['DATE:2016-03-19 14:30:28.363569', 'CPU:20.1', 'MEMORY:12327 MB']
['DATE:2016-03-19 14:31:29.427515', 'CPU:3.6', 'MEMORY:12324 MB']
['DATE:2016-03-19 14:32:30.491412', 'CPU:11.0', 'MEMORY:12326 MB']
['DATE:2016-03-19 14:33:31.554350', 'CPU:3.1', 'MEMORY:12308 MB']
['DATE:2016-03-19 14:34:32.617681', 'CPU:0.8', 'MEMORY:12504 MB']
['DATE:2016-03-19 14:35:33.634105', 'CPU:1.2', 'MEMORY:12853 MB']
['DATE:2016-03-19 14:36:34.697479', 'CPU:1.4', 'MEMORY:12881 MB']
['DATE:2016-03-19 14:37:35.760968', 'CPU:12.4', 'MEMORY:13011 MB']
['DATE:2016-03-19 14:38:36.824369', 'CPU:12.6', 'MEMORY:12653 MB']
['DATE:2016-03-19 14:39:37.887802', 'CPU:16.7', 'MEMORY:12649 MB']
['DATE:2016-03-19 14:40:38.951086', 'CPU:12.4', 'MEMORY:12614 MB']
['DATE:2016-03-19 14:41:40.011403', 'CPU:17.5', 'MEMORY:12652 MB']
['DATE:2016-03-19 14:42:41.075108', 'CPU:1.2', 'MEMORY:12601 MB']
['DATE:2016-03-19 14:43:42.138112', 'CPU:13.5', 'MEMORY:12675 MB']
['DATE:2016-03-19 14:44:43.201852', 'CPU:14.1', 'MEMORY:12727 MB']
['DATE:2016-03-19 14:45:44.264661', 'CPU:21.8', 'MEMORY:12738 MB']
['DATE:2016-03-19 14:46:45.328228', 'CPU:16.6', 'MEMORY:12750 MB']
['DATE:2016-03-19 14:47:46.391340', 'CPU:13.7', 'MEMORY:12801 MB']
['DATE:2016-03-19 14:48:47.455132', 'CPU:13.1', 'MEMORY:12809 MB']
['DATE:2016-03-19 14:49:48.518943', 'CPU:13.6', 'MEMORY:12827 MB']
['DATE:2016-03-19 14:50:49.582251', 'CPU:14.1', 'MEMORY:12837 MB']
['DATE:2016-03-19 14:51:50.645616', 'CPU:13.1', 'MEMORY:12829 MB']
['DATE:2016-03-19 14:52:51.708929', 'CPU:13.9', 'MEMORY:12833 MB']
['DATE:2016-03-19 14:53:52.771792', 'CPU:16.7', 'MEMORY:12904 MB']
['DATE:2016-03-19 14:54:53.835432', 'CPU:1.3', 'MEMORY:12808 MB']
['DATE:2016-03-19 14:55:54.899196', 'CPU:14.6', 'MEMORY:12919 MB']
