Running BLAST for 0.015625 

['DATE:2016-03-20 10:18:01.272060', 'CPU:49.0', 'MEMORY:21421 MB']
['DATE:2016-03-20 10:19:02.335308', 'CPU:47.2', 'MEMORY:21445 MB']
['DATE:2016-03-20 10:20:03.396152', 'CPU:50.6', 'MEMORY:21452 MB']
['DATE:2016-03-20 10:21:04.455929', 'CPU:49.9', 'MEMORY:21459 MB']
['DATE:2016-03-20 10:22:05.516024', 'CPU:49.9', 'MEMORY:21464 MB']
['DATE:2016-03-20 10:23:06.576045', 'CPU:50.6', 'MEMORY:21467 MB']
['DATE:2016-03-20 10:24:07.639467', 'CPU:52.0', 'MEMORY:21473 MB']
['DATE:2016-03-20 10:25:08.699808', 'CPU:49.9', 'MEMORY:21494 MB']
['DATE:2016-03-20 10:26:09.759805', 'CPU:51.6', 'MEMORY:21486 MB']
['DATE:2016-03-20 10:27:10.823087', 'CPU:48.9', 'MEMORY:21491 MB']
['DATE:2016-03-20 10:28:11.883885', 'CPU:50.3', 'MEMORY:21511 MB']
['DATE:2016-03-20 10:29:12.947238', 'CPU:49.6', 'MEMORY:21500 MB']
['DATE:2016-03-20 10:30:14.010665', 'CPU:51.8', 'MEMORY:21503 MB']
['DATE:2016-03-20 10:31:15.071993', 'CPU:54.2', 'MEMORY:21508 MB']
['DATE:2016-03-20 10:32:16.131825', 'CPU:61.4', 'MEMORY:21517 MB']
['DATE:2016-03-20 10:33:17.191911', 'CPU:43.3', 'MEMORY:21481 MB']
['DATE:2016-03-20 10:34:18.255902', 'CPU:23.0', 'MEMORY:21995 MB']
['DATE:2016-03-20 10:35:19.319709', 'CPU:13.2', 'MEMORY:22557 MB']
['DATE:2016-03-20 10:36:20.383405', 'CPU:27.6', 'MEMORY:22677 MB']
['DATE:2016-03-20 10:37:21.443937', 'CPU:58.4', 'MEMORY:22773 MB']
['DATE:2016-03-20 10:38:22.503886', 'CPU:58.1', 'MEMORY:22748 MB']
['DATE:2016-03-20 10:39:23.564322', 'CPU:46.9', 'MEMORY:22148 MB']
['DATE:2016-03-20 10:40:24.624094', 'CPU:29.7', 'MEMORY:22093 MB']
['DATE:2016-03-20 10:41:25.683940', 'CPU:64.8', 'MEMORY:22235 MB']
['DATE:2016-03-20 10:42:26.746978', 'CPU:28.3', 'MEMORY:22158 MB']
['DATE:2016-03-20 10:43:27.807980', 'CPU:51.2', 'MEMORY:22229 MB']
['DATE:2016-03-20 10:44:28.867834', 'CPU:56.9', 'MEMORY:22288 MB']
['DATE:2016-03-20 10:45:29.928218', 'CPU:58.0', 'MEMORY:22348 MB']
['DATE:2016-03-20 10:46:30.991577', 'CPU:60.1', 'MEMORY:22416 MB']
['DATE:2016-03-20 10:47:32.052155', 'CPU:67.0', 'MEMORY:22446 MB']
['DATE:2016-03-20 10:48:33.115462', 'CPU:29.9', 'MEMORY:22421 MB']
['DATE:2016-03-20 10:49:34.175961', 'CPU:38.9', 'MEMORY:22517 MB']
['DATE:2016-03-20 10:50:35.239328', 'CPU:52.6', 'MEMORY:22520 MB']
['DATE:2016-03-20 10:51:36.302322', 'CPU:34.2', 'MEMORY:22548 MB']
['DATE:2016-03-20 10:52:37.363925', 'CPU:37.4', 'MEMORY:22542 MB']
['DATE:2016-03-20 10:53:38.424083', 'CPU:58.9', 'MEMORY:22662 MB']
['DATE:2016-03-20 10:54:39.487268', 'CPU:55.0', 'MEMORY:22695 MB']
['DATE:2016-03-20 10:55:40.548030', 'CPU:54.2', 'MEMORY:22761 MB']
['DATE:2016-03-20 10:56:41.607942', 'CPU:38.5', 'MEMORY:22717 MB']
['DATE:2016-03-20 10:57:42.667922', 'CPU:48.1', 'MEMORY:22810 MB']
['DATE:2016-03-20 10:58:43.727909', 'CPU:56.2', 'MEMORY:22791 MB']
['DATE:2016-03-20 10:59:44.787877', 'CPU:47.9', 'MEMORY:22829 MB']
['DATE:2016-03-20 11:00:45.851305', 'CPU:56.9', 'MEMORY:22861 MB']
