Running BLAST for 0.015625 

['DATE:2016-03-20 05:03:08.498173', 'CPU:22.7', 'MEMORY:71348 MB']
['DATE:2016-03-20 05:04:09.559976', 'CPU:22.8', 'MEMORY:71366 MB']
['DATE:2016-03-20 05:05:10.623528', 'CPU:24.1', 'MEMORY:71372 MB']
['DATE:2016-03-20 05:06:11.687630', 'CPU:24.3', 'MEMORY:71374 MB']
['DATE:2016-03-20 05:07:12.750585', 'CPU:23.9', 'MEMORY:71378 MB']
['DATE:2016-03-20 05:08:13.812539', 'CPU:23.8', 'MEMORY:71381 MB']
['DATE:2016-03-20 05:09:14.855158', 'CPU:24.3', 'MEMORY:71384 MB']
['DATE:2016-03-20 05:10:15.915515', 'CPU:24.1', 'MEMORY:71385 MB']
['DATE:2016-03-20 05:11:16.979151', 'CPU:23.6', 'MEMORY:71389 MB']
['DATE:2016-03-20 05:12:18.040315', 'CPU:24.6', 'MEMORY:71390 MB']
['DATE:2016-03-20 05:13:19.103522', 'CPU:24.0', 'MEMORY:71391 MB']
['DATE:2016-03-20 05:14:20.163755', 'CPU:24.0', 'MEMORY:71394 MB']
['DATE:2016-03-20 05:15:21.227557', 'CPU:23.7', 'MEMORY:71399 MB']
['DATE:2016-03-20 05:16:22.291587', 'CPU:22.1', 'MEMORY:71404 MB']
['DATE:2016-03-20 05:17:23.355013', 'CPU:22.9', 'MEMORY:71403 MB']
['DATE:2016-03-20 05:18:24.418807', 'CPU:6.3', 'MEMORY:71393 MB']
['DATE:2016-03-20 05:19:25.482409', 'CPU:2.8', 'MEMORY:72004 MB']
['DATE:2016-03-20 05:20:26.546047', 'CPU:2.9', 'MEMORY:72042 MB']
['DATE:2016-03-20 05:21:27.610089', 'CPU:16.3', 'MEMORY:72083 MB']
['DATE:2016-03-20 05:22:28.673848', 'CPU:17.9', 'MEMORY:72099 MB']
['DATE:2016-03-20 05:23:29.737577', 'CPU:17.4', 'MEMORY:71846 MB']
['DATE:2016-03-20 05:24:30.800601', 'CPU:18.5', 'MEMORY:71851 MB']
['DATE:2016-03-20 05:25:31.864891', 'CPU:16.9', 'MEMORY:71726 MB']
['DATE:2016-03-20 05:26:32.928917', 'CPU:17.0', 'MEMORY:71624 MB']
['DATE:2016-03-20 05:27:33.975864', 'CPU:1.7', 'MEMORY:12230 MB']
['DATE:2016-03-20 05:28:35.039435', 'CPU:16.7', 'MEMORY:12376 MB']
['DATE:2016-03-20 05:29:36.102641', 'CPU:23.5', 'MEMORY:12420 MB']
['DATE:2016-03-20 05:30:37.166116', 'CPU:17.2', 'MEMORY:12343 MB']
['DATE:2016-03-20 05:31:38.227722', 'CPU:21.0', 'MEMORY:12667 MB']
['DATE:2016-03-20 05:32:39.291595', 'CPU:16.7', 'MEMORY:12707 MB']
['DATE:2016-03-20 05:33:40.351775', 'CPU:29.2', 'MEMORY:13012 MB']
['DATE:2016-03-20 05:34:41.415338', 'CPU:28.5', 'MEMORY:13453 MB']
['DATE:2016-03-20 05:35:42.479183', 'CPU:28.7', 'MEMORY:13762 MB']
['DATE:2016-03-20 05:36:43.542826', 'CPU:28.5', 'MEMORY:14139 MB']
['DATE:2016-03-20 05:37:44.576167', 'CPU:28.7', 'MEMORY:14470 MB']
['DATE:2016-03-20 05:38:45.635792', 'CPU:32.5', 'MEMORY:14882 MB']
['DATE:2016-03-20 05:39:46.699818', 'CPU:29.8', 'MEMORY:15150 MB']
['DATE:2016-03-20 05:40:47.763512', 'CPU:40.2', 'MEMORY:15448 MB']
['DATE:2016-03-20 05:41:48.827212', 'CPU:29.5', 'MEMORY:15780 MB']
