Running BLAST for 0.015625 

['DATE:2016-03-20 02:37:21.017535', 'CPU:21.5', 'MEMORY:12478 MB']
['DATE:2016-03-20 02:38:22.077802', 'CPU:20.8', 'MEMORY:12495 MB']
['DATE:2016-03-20 02:39:23.140982', 'CPU:21.5', 'MEMORY:12502 MB']
['DATE:2016-03-20 02:40:24.204545', 'CPU:22.8', 'MEMORY:12507 MB']
['DATE:2016-03-20 02:41:25.268610', 'CPU:22.3', 'MEMORY:12512 MB']
['DATE:2016-03-20 02:42:26.332108', 'CPU:22.3', 'MEMORY:12513 MB']
['DATE:2016-03-20 02:43:27.395741', 'CPU:22.9', 'MEMORY:12514 MB']
['DATE:2016-03-20 02:44:28.457594', 'CPU:23.1', 'MEMORY:12517 MB']
['DATE:2016-03-20 02:45:29.521234', 'CPU:22.8', 'MEMORY:12519 MB']
['DATE:2016-03-20 02:46:30.585287', 'CPU:22.7', 'MEMORY:12519 MB']
['DATE:2016-03-20 02:47:31.645459', 'CPU:21.4', 'MEMORY:12522 MB']
['DATE:2016-03-20 02:48:32.708628', 'CPU:22.6', 'MEMORY:12526 MB']
['DATE:2016-03-20 02:49:33.771134', 'CPU:22.9', 'MEMORY:12530 MB']
['DATE:2016-03-20 02:50:34.835161', 'CPU:2.9', 'MEMORY:12537 MB']
['DATE:2016-03-20 02:51:35.898462', 'CPU:17.4', 'MEMORY:12542 MB']
['DATE:2016-03-20 02:52:36.961901', 'CPU:3.1', 'MEMORY:12482 MB']
['DATE:2016-03-20 02:53:38.025547', 'CPU:1.1', 'MEMORY:12746 MB']
['DATE:2016-03-20 02:54:39.089034', 'CPU:1.3', 'MEMORY:13013 MB']
['DATE:2016-03-20 02:55:40.152786', 'CPU:15.6', 'MEMORY:13242 MB']
['DATE:2016-03-20 02:56:41.217035', 'CPU:16.6', 'MEMORY:13268 MB']
['DATE:2016-03-20 02:57:42.277450', 'CPU:17.2', 'MEMORY:13271 MB']
['DATE:2016-03-20 02:58:43.329778', 'CPU:16.6', 'MEMORY:13255 MB']
['DATE:2016-03-20 02:59:44.393438', 'CPU:14.8', 'MEMORY:13242 MB']
['DATE:2016-03-20 03:00:45.457379', 'CPU:16.6', 'MEMORY:13254 MB']
['DATE:2016-03-20 03:01:46.521391', 'CPU:15.7', 'MEMORY:13312 MB']
['DATE:2016-03-20 03:02:47.535351', 'CPU:16.6', 'MEMORY:13306 MB']
['DATE:2016-03-20 03:03:48.598921', 'CPU:16.0', 'MEMORY:13341 MB']
['DATE:2016-03-20 03:04:49.662935', 'CPU:16.1', 'MEMORY:13371 MB']
['DATE:2016-03-20 03:05:50.726973', 'CPU:15.7', 'MEMORY:13409 MB']
['DATE:2016-03-20 03:06:51.790797', 'CPU:16.7', 'MEMORY:13410 MB']
['DATE:2016-03-20 03:07:52.855314', 'CPU:17.2', 'MEMORY:13484 MB']
['DATE:2016-03-20 03:08:53.919564', 'CPU:17.7', 'MEMORY:13481 MB']
['DATE:2016-03-20 03:09:54.982899', 'CPU:17.3', 'MEMORY:13516 MB']
['DATE:2016-03-20 03:10:56.046035', 'CPU:17.0', 'MEMORY:13517 MB']
['DATE:2016-03-20 03:11:57.109879', 'CPU:2.3', 'MEMORY:13372 MB']
['DATE:2016-03-20 03:12:58.173370', 'CPU:18.1', 'MEMORY:13577 MB']
['DATE:2016-03-20 03:13:59.237347', 'CPU:17.5', 'MEMORY:13570 MB']
['DATE:2016-03-20 03:15:00.301517', 'CPU:16.7', 'MEMORY:13604 MB']
['DATE:2016-03-20 03:16:01.365198', 'CPU:17.6', 'MEMORY:13618 MB']
['DATE:2016-03-20 03:17:02.429359', 'CPU:17.0', 'MEMORY:13667 MB']
['DATE:2016-03-20 03:18:03.490076', 'CPU:17.0', 'MEMORY:13681 MB']
